ID,COD_BARRIO,BARRIO,links_barrio,COD_DISTRITO,DISTRITO,links_district,ESTADO,LATITUD,LONGITUD,TIPO_VIA,NOM_VIA,NUM_VIA,COD_POSTAL,CODIGO_INTERNO,MODELO
515171,055,Nueva España,https://wikidata.org/entity/Q10338128,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.46066009,-3.68921003,PASEO,CASTELLANA,178,28046,267001,50_LTS_EX
515174,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45449011,-3.67742997,PLAZA,REPUBLICA DEL ECUADOR,1,28016,267004,50_LTS_EX
515175,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45420709,-3.67874399,CALLE,SERRANO,215,28016,267005,50_LTS_EX
515179,051,El Viso,https://wikidata.org/entity/Q4778,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.44836012,-3.68259001,CALLE,LEIZARAN,9,28002,267009,50_LTS_EX
515176,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45663613,-3.68101499,PASEO,LA HABANA,81,28036,267006,50_LTS_EX
515181,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.43347616,-3.64707605,CALLE,EZEQUIEL SOLANA,1,28017,267011,50_LTS_EX
515185,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.4293261,-3.64766204,CALLE,JOSE MARIA PEREDA,57,28017,267015,50_LTS_EX
515184,152,Pueblo Nuevo,https://wikidata.org/entity/Q71753,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.43121713,-3.64132198,CALLE,ESTEBAN COLLANTES,14,28017,267014,50_LTS_EX
515186,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.42322116,-3.65247904,CALLE,NUESTRA SEÑORA DEL VILLAR,31,28017,267016,50_LTS_EX
515189,151,Ventas,https://wikidata.org/entity/Q71762,15,Ciudad Lineal,https://wikidata.org/entity/Q1763694,OPERATIVO,40.42319313,-3.65512497,AVENIDA,MARQUES DE CORBERA,20 C,28017,267020,50_LTS_EX
516462,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45333016,-3.67209798,CALLE,VICTOR DE LA SERNA,14,28016,268390,50_LTS_EX
516464,036,Niño Jesús,https://wikidata.org/entity/Q3773746,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.41130015,-3.67119996,CALLE,JESUS APRENDIZ,5,28009,268394,50_LTS_EX
516465,054,Hispanoamérica,https://wikidata.org/entity/Q3814573,05,Chamartín,https://wikidata.org/entity/Q1766348,OPERATIVO,40.45532633,-3.67601369,CALLE,CHILE,2,28016,268395,50_LTS_EX
516466,065,Valdeacederas,https://wikidata.org/entity/Q10388711,06,Tetuán,https://wikidata.org/entity/Q1773540,OPERATIVO,40.46585012,-3.70693999,CALLE,SORGO,1 B,28039,268396,50_LTS_EX
516472,036,Niño Jesús,https://wikidata.org/entity/Q3773746,03,Retiro,https://wikidata.org/entity/Q2002296,OPERATIVO,40.41126714,-3.67008797,AVENIDA,NAZARET,13 D,28009,268402,50_LTS_EX
516473,171,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,17,Villaverde,https://wikidata.org/entity/Q919536,OPERATIVO,40.34628715,-3.70632998,CALLE,DOCTOR MARTIN AREVALO,29,28021,268403,50_LTS_EX
