ID,CODE,MUNICIPIO,SAME_AS_WIKIDATA_MUNICIPIO,PROVINCIA,SAME_AS_WIKIDATA_PROVINCIA,2020
48067IdxD,48067,Muxika,https://www.wikidata.org/wiki/Q664870,Biscay,https://www.wikidata.org/wiki/Q93366,49.9
48909IdxD,48909,Nabarniz,https://www.wikidata.org/wiki/Q765761,Biscay,https://www.wikidata.org/wiki/Q93366,24.1
1041IdxD,1041,Navaridas,https://www.wikidata.org/wiki/Q1442870,Álava,https://www.wikidata.org/wiki/Q81801,23.7
20063IdxD,20063,Oiartzun,https://www.wikidata.org/wiki/Q911092,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,45.2
1042IdxD,1042,Okondo,https://www.wikidata.org/wiki/Q1368782,Álava,https://www.wikidata.org/wiki/Q81801,43.44
20058IdxD,20058,Olaberria,https://www.wikidata.org/wiki/Q1618340,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,50.32
48073IdxD,48073,Ondarroa,https://www.wikidata.org/wiki/Q595283,Biscay,https://www.wikidata.org/wiki/Q93366,29.03
20076IdxD,20076,Ordizia,https://www.wikidata.org/wiki/Q672483,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,28.42
20905IdxD,20905,Orendain,https://www.wikidata.org/wiki/Q1633885,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,45.87
20060IdxD,20060,Orexa,https://www.wikidata.org/wiki/Q598020,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,9.17
20061IdxD,20061,Orio,https://www.wikidata.org/wiki/Q1649616,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,19.77
20062IdxD,20062,Ormaiztegi,https://www.wikidata.org/wiki/Q932808,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,27.69
48075IdxD,48075,Orozko,https://www.wikidata.org/wiki/Q726664,Biscay,https://www.wikidata.org/wiki/Q93366,29.83
48083IdxD,48083,Ortuella,https://www.wikidata.org/wiki/Q4474,Biscay,https://www.wikidata.org/wiki/Q93366,33.19
48072IdxD,48072,Otxandio,https://www.wikidata.org/wiki/Q734550,Biscay,https://www.wikidata.org/wiki/Q93366,35.53
1043IdxD,1043,Oyón-Oion,https://www.wikidata.org/wiki/Q581589,Álava,https://www.wikidata.org/wiki/Q81801,25.68
20059IdxD,20059,Oñati,https://www.wikidata.org/wiki/Q496588,Gipuzkoa,https://www.wikidata.org/wiki/Q95010,9.28
