ID,DESC_CLASIFICACION,address_id,LOCALIDAD,COD_POSTAL,COD_BARRIO,BARRIO,COD_DISTRITO,DISTRITO,TIPO_VIA,NOM_VIA,NUM_VIA,ESTADO,ID_GEO,LATITUD,LONGITUD,USO,MODELO
8921514,Fuentes de beber,8921514_adress,Madrid,28053,131,ENTREVIAS,13,PUENTE DE VALLECAS,CALLE,ESTEBAN CARROS,80,OPERATIVO,8921514_geo,40.3687791,-3.66056317,MASCOTAS,BEBEDERO NEPTUNO
9031690,Fuentes de beber,9031690_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031690_geo,40.49733665,-3.63588718,PERSONAS Y MASCOTAS,OTRO
9031701,Fuentes de beber,9031701_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031701_geo,40.48979887,-3.6408118,PERSONAS Y MASCOTAS,OTRO
9031702,Fuentes de beber,9031702_adress,Madrid,28055,166,VALDEFUENTES,16,HORTALEZA,AVENIDA,Avenida de las Fuerzas Armadas,11,OPERATIVO,9031702_geo,40.48959828,-3.63886814,PERSONAS Y MASCOTAS,OTRO
9031747,Fuentes de beber,9031747_adress,Madrid,28030,142,HORCAJO,14,MORATALAZ,AVENIDA,Avenida del Doctor Garcia Tapia,125,OPERATIVO,9031747_geo,40.41104958,-3.62749198,PERSONAS Y MASCOTAS,OTRO
9031934,Fuentes de beber,9031934_adress,Madrid,28043,162,PIOVERA,16,HORTALEZA,AVENIDA,MACHUPICHU,1,OPERATIVO,9031934_geo,40.45475301,-3.62839723,PERSONAS Y MASCOTAS,MIXTA ESTELA
9031935,Fuentes de beber,9031935_adress,Madrid,28043,162,PIOVERA,16,HORTALEZA,AVENIDA,MACHUPICHU,1,OPERATIVO,9031935_geo,40.45728385,-3.62055488,MASCOTAS,BEBEDERO CANINO
9049038,Fuentes de beber,9049038_adress,Madrid,28038,136,NUMANCIA,13,PUENTE DE VALLECAS,CALLE,CANTALAPIEDRA,2,OPERATIVO,9049038_geo,40.39182873,-3.65548204,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
9049057,Fuentes de beber,9049057_adress,Madrid,28018,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,CALLE,MARIA TERESA ROBLEDO,3,OPERATIVO,9049057_geo,40.38775481,-3.65779987,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
9049060,Fuentes de beber,9049060_adress,Madrid,28018,133,PALOMERAS BAJAS,13,PUENTE DE VALLECAS,CALLE,PUERTO DE COSTABONA,5,OPERATIVO,9049060_geo,40.38577483,-3.65921666,PERSONAS Y MASCOTAS,MIXTA NEPTUNO
