Identificador_Dirección,Número_de_Distrito,Calle,Tipo de Vía
750033612,7,AVENUE SILVESTRE DE SACY,AVENUE
750020837,19,AVENUE SIMON BOLIVAR,AVENUE
750139322,17,AVENUE STEPHANE MALLARME,AVENUE
750073929,13,AVENUE STEPHEN PICHON,AVENUE
750033710,7,AVENUE SULLY-PRUDHOMME,AVENUE
750095784,20,AVENUE TAILLADE,AVENUE
750129445,16,AVENUE THEODORE ROUSSEAU,AVENUE
750146802,16,AVENUE THEOPHILE GAUTIER,AVENUE
750044358,9,AVENUE TRUDAINE,AVENUE
750039465,8,AVENUE VAN DYCK,AVENUE
750029840,6,AVENUE VAVIN,AVENUE
750039474,8,AVENUE VELASQUEZ,AVENUE
750130128,16,AVENUE VICTOR HUGO,AVENUE
750003034,1,AVENUE VICTORIA,AVENUE
750106454,14,AVENUE VILLEMAIN,AVENUE
750064918,12,AVENUE VINCENT D'INDY,AVENUE
750130394,16,AVENUE VION-WHITCOMB,AVENUE
750164769,8,AVENUE WINSTON CHURCHILL,AVENUE
750140365,17,AVENUE YVES DU MANOIR,AVENUE
750050420,11,BASTILLE,BASTILLE
750182974,14,BOULEVARD ADOLPHE PINARD,BOULEVARD
750119146,16,BOULEVARD ANDRE MAUROIS,BOULEVARD
750098821,14,BOULEVARD ARAGO,BOULEVARD
750066146,13,BOULEVARD AUGUSTE BLANQUI,BOULEVARD
750075653,18,BOULEVARD BARBES,BOULEVARD
750050470,11,BOULEVARD BEAUMARCHAIS,BOULEVARD
750131517,17,BOULEVARD BERTHIER,BOULEVARD
750131720,17,BOULEVARD BESSIERES,BOULEVARD
750009747,4,BOULEVARD BOURDON,BOULEVARD
750099601,14,BOULEVARD BRUNE,BOULEVARD
750171544,12,BOULEVARD CARNOT,BOULEVARD
750012948,19,BOULEVARD D'ALGERIE,BOULEVARD
750131121,17,BOULEVARD D'AURELLE DE PALADINES,BOULEVARD
750167221,16,BOULEVARD D'AUTEUIL,BOULEVARD
750165821,19,BOULEVARD D'INDOCHINE,BOULEVARD
750088112,20,BOULEVARD DAVOUT,BOULEVARD
750119594,16,BOULEVARD DE BEAUSEJOUR,BOULEVARD
750050530,11,BOULEVARD DE BELLEVILLE,BOULEVARD
750359999,12,BOULEVARD DE BERCY,BOULEVARD
750045635,10,BOULEVARD DE BONNE NOUVELLE,BOULEVARD
750051068,11,BOULEVARD DE CHARONNE,BOULEVARD
750040928,9,BOULEVARD DE CLICHY,BOULEVARD
750133044,17,BOULEVARD DE COURCELLES,BOULEVARD
750046296,10,BOULEVARD DE DENAIN,BOULEVARD
750133658,17,BOULEVARD DE DIXMUDE,BOULEVARD
750147042,17,BOULEVARD DE DOUAUMONT,BOULEVARD
750112581,15,BOULEVARD DE GRENELLE,BOULEVARD
750119050,16,BOULEVARD DE L'AMIRAL BRUIX,BOULEVARD
750070355,13,BOULEVARD DE L'HOPITAL,BOULEVARD
750140357,17,BOULEVARD DE L'YSER,BOULEVARD
750147124,12,BOULEVARD DE LA BASTILLE,BOULEVARD
750045977,10,BOULEVARD DE LA CHAPELLE,BOULEVARD
750014632,19,BOULEVARD DE LA COMMANDERIE,BOULEVARD
750061490,12,BOULEVARD DE LA GUYANE,BOULEVARD
750001163,1,BOULEVARD DE LA MADELEINE,BOULEVARD
750139296,17,BOULEVARD DE LA SOMME,BOULEVARD
750032283,7,BOULEVARD DE LA TOUR-MAUBOURG,BOULEVARD
750021260,19,BOULEVARD DE LA VILLETTE,BOULEVARD
750121358,16,BOULEVARD DELESSERT,BOULEVARD
750048414,10,BOULEVARD DE MAGENTA,BOULEVARD
750053886,11,BOULEVARD DE MENILMONTANT,BOULEVARD
750126330,16,BOULEVARD DE MONTMORENCY,BOULEVARD
750062908,12,BOULEVARD DE PICPUS,BOULEVARD
750073235,13,BOULEVARD DE PORT-ROYAL,BOULEVARD
750138505,17,BOULEVARD DE REIMS,BOULEVARD
750063625,12,BOULEVARD DE REUILLY,BOULEVARD
750169393,8,BOULEVARD DES BATIGNOLLES,BOULEVARD
750003636,2,BOULEVARD DES CAPUCINES,BOULEVARD
750158227,4,BOULEVARD DE SEBASTOPOL,BOULEVARD
750007107,3,BOULEVARD DES FILLES DU CALVAIRE,BOULEVARD
750112112,15,BOULEVARD DES FRERES VOISIN,BOULEVARD
750031864,7,BOULEVARD DES INVALIDES,BOULEVARD
750004319,2,BOULEVARD DES ITALIENS,BOULEVARD
750049430,10,BOULEVARD DE STRASBOURG,BOULEVARD
750117966,15,BOULEVARD DE VAUGIRARD,BOULEVARD
750060243,12,BOULEVARD DIDEROT,BOULEVARD
750131829,17,BOULEVARD DU BOIS LE PRETRE,BOULEVARD
750145861,17,BOULEVARD DU FORT DE VAUX,BOULEVARD
750174033,13,BOULEVARD DU GENERAL JEAN SIMON,BOULEVARD
750112384,15,BOULEVARD DU GENERAL MARTIAL VALIN,BOULEVARD
