ID;DESC_CLASIFICACION;COD_BARRIO;BARRIO;COD_DISTRITO;DISTRITO;ESTADO;COORD_GIS_X;COORD_GIS_Y;SISTEMA_COORD;LATITUD;LONGITUD;TIPO_VIA;NOM_VIA;NUM_VIA;COD_POSTAL;DIRECCION_AUX;NDP;FECHA_INSTALACION;CODIGO_INTERNO;CONTRATO_COD;UBICACION;USO;MODELO
"9047007";"Fuentes de beber";"091";"CASA DE CAMPO";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439016.00";"4475134.00";"ETRS89";40.42460467;-3.71890506;"PASEO";"MORET";"2";"28008";"En Templo de Debod cerca de las áreas infantiles";"31024729";;"FUEP_09_02_0039";"6";"ZV";"PERSONAS";"MU-37C"
"9047008";"Fuentes de beber";"208";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"446750.00";"4477133.00";"ETRS89";40.44314378;-3.62790647;"CALLE";"ALCALA";"527";"28027";"En mitad del Paseo Central";"11139186";;"FUEP_20_03_0040";"6";"ZV";"PERSONAS";"PIEDRA VP"
"9047012";"Fuentes de beber";"208";"EL SALVADOR";"20";"SAN BLAS-CANILLEJAS";"OPERATIVO";"446882.00";"4476942.00";"ETRS89";40.44143158;-3.62633409;"CALLE";"ALCALA";"527";"28027";"Cerca área de mayores en Calle Alcalá";"11139186";;"FUEP_20_03_0044";"6";"ZV";"PERSONAS";"PIEDRA VP"
"9047013";"Fuentes de beber";"043";"FUENTE DEL BERRO";"04";"SALAMANCA";"OPERATIVO";"443798.00";"4474929.00";"ETRS89";40.42309469;-3.66251844;"CALLE";"ENRIQUE D'ALMONTE";"1";"28028";"Entorno Estanque de patos";"11016085";;"FUEP_04_04_0045";"6";"ZV";"PERSONAS";"OTRO"
"9047015";"Fuentes de beber";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"449479.00";"4478625.00";"ETRS89";40.45675493;-3.59584740;"PASEO";"ALAMEDA DE OSUNA";"25";"28042";"Entorno a Palacio";"31031146";;"FUEP_21_05_0047";"6";"ZV";"PERSONAS";"MU-37C"
"9047016";"Fuentes de beber";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"449341.00";"4478694.00";"ETRS89";40.45736812;-3.59748040;"PASEO";"ALAMEDA DE OSUNA";"25";"28042";"Enfrente del Fortín";"31031146";;"FUEP_21_05_0048";"6";"ZV";"PERSONAS";"MU-37C"
"9047018";"Fuentes de beber";"211";"ALAMEDA DE OSUNA";"21";"BARAJAS";"OPERATIVO";"449171.00";"4478390.00";"ETRS89";40.45461913;-3.59946096;"PASEO";"ALAMEDA DE OSUNA";"25";"28042";"Entorno Plaza de toros";"31031146";;"FUEP_21_05_0050";"6";"ZV";"PERSONAS";"MU-37C"
"9047020";"Fuentes de beber";"011";"PALACIO";"01";"CENTRO";"OPERATIVO";"439605.00";"4474347.00";"ETRS89";40.41755799;-3.71188745;"CALLE";"BAILEN";"17";"28013";"Entorno área infantil";"20103594";;"FUEP_01_07_0052";"6";"ZV";"PERSONAS";"MU-37C"
"9047022";"Fuentes de beber";"094";"VALDEZARZA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"439442.00";"4479387.00";"ETRS89";40.46294855;-3.71428901;"CARRETERA";"DEHESA DE LA VILLA";"1";"28040";"En el centro del Parque de pinos";"31026444";;"FUEP_09_08_0056";"6";"ZV";"PERSONAS";"OTRO"
"9047024";"Fuentes de beber";"093";"CIUDAD UNIVERSITARIA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438622.00";"4479113.00";"ETRS89";40.46042009;-3.72393379;"CARRETERA";"DEHESA DE LA VILLA";"1";"28040";"Entorno curva Carretera Dehesa de la Villa";"31026444";;"FUEP_09_08_0058";"6";"ZV";"PERSONAS";"PIEDRA VP"
"9047025";"Fuentes de beber";"093";"CIUDAD UNIVERSITARIA";"09";"MONCLOA-ARAVACA";"OPERATIVO";"438895.00";"4478953.00";"ETRS89";40.45899887;-3.72069868;"CARRETERA";"DEHESA DE LA VILLA";"1";"28040";"Entorno elemento deportivo (barras)";"31026444";;"FUEP_09_08_0059";"6";"ZV";"PERSONAS";"PIEDRA VP"
